Serial_no,Name_of_State/UT,Active Cases,AC_Change,Cured,Cured_Change,Deaths,Death_Change
1,Andaman and Nicobar Islands,79,1,4665,6,61, 
2,Andhra Pradesh,5078,158,862895,665,7052,3
3,Arunachal Pradesh,269,10,16185,22,55, 
4,Assam,3527,34,210057,118,1000, 
5,Bihar,5501,26,234958,575,1317,5
6,Chandigarh,815,23,17457,92,300,1
7,Chhattisgarh,18640,294,234037,1322,3084,16
8,Dadra and Nagar Haveli and Daman and Diu,17,1,3337,2,2, 
9,Delhi,17373,1303,578116,3191,9981,47
10,Goa,1111,76,47489,144,705,2
11,Gujarat,13481,146,208867,1338,4160,12
12,Haryana,10318,368,238374,1365,2710,11
13,Himachal Pradesh,7575,150,40573,737,803,10
14,Jammu and Kashmir,4831,18,109002,430,1793,7
15,Jharkhand,1610,84,108761,273,995, 
16,Karnataka,18273,339,870002,1531,11939,11
17,Kerala,60177,649,601861,5268,2594,32
18,Ladakh,763,34,8252,60,123, 
19,Madhya Pradesh,12947,145,206059,1418,3391,9
20,Maharashtra,74638,230,1753922,3949,48139,80
21,Manipur,3057,59,23657,116,322,2
22,Meghalaya,641,47,11977,50,125,1
23,Mizoram,192,5,3836,16,7, 
24,Nagaland,610,22,10998,64,68, 
25,Odisha,2879,74,318683,405,1802,4
26,Puducherry,346,21,36479,59,619, 
27,Punjab,7091,195,147431,654,5057,21
28,Rajasthan,16821,900,270650,2193,2528,14
29,Sikkim,364,1,4834,24,118, 
30,Tamil Nadu,10208,91,775602,1296,11883,13
31,Telengana,7630,40,268601,609,1493,4
32,Tripura,352,3,32310,25,376,1
33,Uttrakhand,6207,273,74381,445,1351,10
34,Uttar Pradesh,20091,382,535985,1761,8056,31
35,West Bengal,23034,247,487171,2913,9010,44
